Timestamp,Namespace,Pod,QueueTime,QueueTimeFormatted,Days,Hours,Minutes,Seconds,CreationTime,StartTime
2025-04-03 02:11:29,dev,fremont-shark-15379-p2sn6,471037.0,5d 10h 50m 37.0s,5,10,50,37.0,2025-03-04T04:22:14Z,2025-03-09T15:12:51Z
2025-04-03 08:09:25,rocm-qa,rocm-test-job-m4rfv,338233.0,3d 21h 57m 13.0s,3,21,57,13.0,2025-03-05T17:09:46Z,2025-03-09T15:06:59Z
2025-04-03 01:16:03,opea,rocm-opea-test-job-yu-v5xql,20924.0,0d 5h 48m 44.0s,0,5,48,44.0,2025-03-17T20:45:20Z,2025-03-18T02:34:04Z
2025-04-03 04:07:28,test-dev-contest,rocm-test-job-5rmcw,13903.0,0d 3h 51m 43.0s,0,3,51,43.0,2025-03-24T15:56:27Z,2025-03-24T19:48:10Z
2025-04-03 07:44:13,dev,reference-models-test-deployment-56c9b7bfff-bxhd4,7828.0,0d 2h 10m 28.0s,0,2,10,28.0,2025-02-19T00:48:11Z,2025-02-19T02:58:39Z
2025-04-03 05:18:05,buildkite,buildkite-0195faae-2339-457a-9894-329bb808f373-x45jj,5880.0,0d 1h 38m 0.0s,0,1,38,0.0,2025-04-03T08:28:54Z,2025-04-03T10:06:54Z
2025-04-03 10:20:25,dev,samaario-dev-64875d8d59-86v5n,5238.0,0d 1h 27m 18.0s,0,1,27,18.0,2025-03-18T09:57:43Z,2025-03-18T11:25:01Z
2025-04-03 05:02:58,buildkite,buildkite-0195fab5-da08-466b-b054-bb8e126d3b11-qrdxz,5173.0,0d 1h 26m 13.0s,0,1,26,13.0,2025-04-03T08:36:05Z,2025-04-03T10:02:18Z
2025-04-03 04:42:48,buildkite,buildkite-0195fab5-da02-4144-b2bf-10ee8d08b2e6-9zdrd,3671.0,0d 1h 1m 11.0s,0,1,1,11.0,2025-04-03T08:36:05Z,2025-04-03T09:37:16Z
2025-04-03 11:00:45,buildkite,buildkite-0195fc17-287d-4282-a377-0cfef2f689e2-c9dpc,3507.0,0d 0h 58m 27.0s,0,0,58,27.0,2025-04-03T15:01:35Z,2025-04-03T16:00:02Z
