Namespace,PodCount,AvgQueueTime,MaxQueueTime,MinQueueTime,StdQueueTime,AvgQueueTimeFormatted,MaxQueueTimeFormatted,MinQueueTimeFormatted,AvgQueueTimeDays,AvgQueueTimeHours,AvgQueueTimeMinutes,AvgQueueTimeSeconds,MaxQueueTimeDays,MaxQueueTimeHours,MaxQueueTimeMinutes,MaxQueueTimeSeconds,MinQueueTimeDays,MinQueueTimeHours,MinQueueTimeMinutes,MinQueueTimeSeconds
rocm-qa,3,267757.3333333333,465039.0,0.0,240396.40715770554,3d 2h 22m 37.33s,5d 9h 10m 39.0s,0d 0h 0m 0.0s,3,2,22,37.33,5,9,10,39.0,0,0,0,0.0
dev,72,7585.083333333333,471037.0,0.0,55791.1247446639,0d 2h 6m 25.08s,5d 10h 50m 37.0s,0d 0h 0m 0.0s,0,2,6,25.08,5,10,50,37.0,0,0,0,0.0
buildkite,6,3418.3333333333335,10255.0,0.0,5295.659228714275,0d 0h 56m 58.33s,0d 2h 50m 55.0s,0d 0h 0m 0.0s,0,0,56,58.33,0,2,50,55.0,0,0,0,0.0
silo-model-tooling,4,2563.5,10254.0,0.0,5127.0,0d 0h 42m 43.5s,0d 2h 50m 54.0s,0d 0h 0m 0.0s,0,0,42,43.5,0,2,50,54.0,0,0,0,0.0
flux-system,9,2278.8888888888887,10255.0,0.0,4521.746494565027,0d 0h 37m 58.89s,0d 2h 50m 55.0s,0d 0h 0m 0.0s,0,0,37,58.89,0,2,50,55.0,0,0,0,0.0
silo-gen-models,11,142.36363636363637,1235.0,0.0,375.74519896527556,0d 0h 2m 22.36s,0d 0h 20m 35.0s,0d 0h 0m 0.0s,0,0,2,22.36,0,0,20,35.0,0,0,0,0.0
arc-gpu-1-rocm-fa,1,6.0,6.0,6.0,,0d 0h 0m 6.0s,0d 0h 0m 6.0s,0d 0h 0m 6.0s,0,0,0,6.0,0,0,0,6.0,0,0,0,6.0
ai-oss,1,1.0,1.0,1.0,,0d 0h 0m 1.0s,0d 0h 0m 1.0s,0d 0h 0m 1.0s,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
health-checker,28,0.7142857142857143,2.0,0.0,0.8099905283919412,0d 0h 0m 0.71s,0d 0h 0m 2.0s,0d 0h 0m 0.0s,0,0,0,0.71,0,0,0,2.0,0,0,0,0.0
arc-runner-test-nfs,4,0.25,1.0,0.0,0.5,0d 0h 0m 0.25s,0d 0h 0m 1.0s,0d 0h 0m 0.0s,0,0,0,0.25,0,0,0,1.0,0,0,0,0.0
arc-gpu-1-aiswhud,1,0.0,0.0,0.0,,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
arc,13,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
gpu-metrics-test,11,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
argocd,7,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
arc-gpu-1-triton,2,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
ish-testing,1,0.0,0.0,0.0,,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
shark-ce,2,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
opea,1,0.0,0.0,0.0,,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
silo-ent-ai,1,0.0,0.0,0.0,,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
tuning,2,0.0,0.0,0.0,0.0,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0d 0h 0m 0.0s,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
