Timestamp,Namespace,Pod,QueueTime,QueueTimeFormatted,Days,Hours,Minutes,Seconds,CreationTime,StartTime
2025-04-02 23:22:42,dev,fremont-shark-15379-p2sn6,471037.0,5d 10h 50m 37.0s,5,10,50,37.0,2025-03-04T04:22:14Z,2025-03-09T15:12:51Z
2025-04-02 23:22:42,rocm-qa,rocm-test-job-m4rfv,338233.0,3d 21h 57m 13.0s,3,21,57,13.0,2025-03-05T17:09:46Z,2025-03-09T15:06:59Z
2025-04-02 23:22:42,opea,rocm-opea-test-job-yu-v5xql,20924.0,0d 5h 48m 44.0s,0,5,48,44.0,2025-03-17T20:45:20Z,2025-03-18T02:34:04Z
2025-04-02 23:22:42,test-dev-contest,rocm-test-job-5rmcw,13903.0,0d 3h 51m 43.0s,0,3,51,43.0,2025-03-24T15:56:27Z,2025-03-24T19:48:10Z
2025-04-02 23:22:42,dev,reference-models-test-deployment-56c9b7bfff-bxhd4,7828.0,0d 2h 10m 28.0s,0,2,10,28.0,2025-02-19T00:48:11Z,2025-02-19T02:58:39Z
2025-04-02 23:22:42,dev,samaario-dev-64875d8d59-86v5n,5238.0,0d 1h 27m 18.0s,0,1,27,18.0,2025-03-18T09:57:43Z,2025-03-18T11:25:01Z
2025-04-02 23:22:42,dev,samaario-dev-64875d8d59-v2lrv,1149.0,0d 0h 19m 9.0s,0,0,19,9.0,2025-03-18T02:15:35Z,2025-03-18T02:34:44Z
2025-04-02 23:22:42,dev,anguyenh-rocm-interactive-66b7cbd659-w5vjg,564.0,0d 0h 9m 24.0s,0,0,9,24.0,2025-03-17T13:31:10Z,2025-03-17T13:40:34Z
2025-04-02 23:22:42,dev,anguyenh-rocm-interactive-66b7cbd659-qqhcv,423.0,0d 0h 7m 3.0s,0,0,7,3.0,2025-03-17T13:14:30Z,2025-03-17T13:21:33Z
2025-04-02 23:22:42,dev,anguyenh-rocm-interactive-66b7cbd659-2sdlg,378.0,0d 0h 6m 18.0s,0,0,6,18.0,2025-03-17T10:52:39Z,2025-03-17T10:58:57Z
