Timestamp,Namespace,Pod,QueueTime,QueueTimeFormatted,Days,Hours,Minutes,Seconds,CreationTime,StartTime
2025-03-27 04:09:25,dev,fremont-shark-15379-p2sn6,471037.0,5d 10h 50m 37.0s,5,10,50,37.0,2025-03-04T04:22:14Z,2025-03-09T15:12:51Z
2025-03-27 04:44:43,rocm-qa,rocm-test-job-m4rfv,338233.0,3d 21h 57m 13.0s,3,21,57,13.0,2025-03-05T17:09:46Z,2025-03-09T15:06:59Z
2025-03-27 05:45:07,opea,rocm-opea-test-job-yu-v5xql,20924.0,0d 5h 48m 44.0s,0,5,48,44.0,2025-03-17T20:45:20Z,2025-03-18T02:34:04Z
2025-03-27 03:34:10,test-dev-contest,rocm-test-job-5rmcw,13903.0,0d 3h 51m 43.0s,0,3,51,43.0,2025-03-24T15:56:27Z,2025-03-24T19:48:10Z
2025-03-26 18:30:29,shark-ce,test-job-eliotli-sxb82,13482.0,0d 3h 44m 42.0s,0,3,44,42.0,2025-03-20T20:05:09Z,2025-03-20T23:49:51Z
2025-03-26 20:56:21,shark-ce,jp-gpu-pod-deepseek,10288.0,0d 2h 51m 28.0s,0,2,51,28.0,2025-03-26T17:20:58Z,2025-03-26T20:12:26Z
2025-03-27 05:35:03,dev,reference-models-test-deployment-56c9b7bfff-bxhd4,7828.0,0d 2h 10m 28.0s,0,2,10,28.0,2025-02-19T00:48:11Z,2025-02-19T02:58:39Z
2025-03-27 01:03:00,dev,samaario-dev-64875d8d59-86v5n,5238.0,0d 1h 27m 18.0s,0,1,27,18.0,2025-03-18T09:57:43Z,2025-03-18T11:25:01Z
2025-03-26 20:46:18,dev,rocm-test-job-mlperf-xfhjs,2848.0,0d 0h 47m 28.0s,0,0,47,28.0,2025-03-17T15:50:23Z,2025-03-17T16:37:51Z
2025-03-27 02:33:32,dev,samaario-dev-64875d8d59-v2lrv,1149.0,0d 0h 19m 9.0s,0,0,19,9.0,2025-03-18T02:15:35Z,2025-03-18T02:34:44Z
