Timestamp,Namespace,Pod,QueueTime,QueueTimeFormatted,Days,Hours,Minutes,Seconds,CreationTime,StartTime
2025-03-12 19:55:38,dev,anguyenh-rocm-interactive-66b7cbd659-894dp,10265.0,0d 2h 51m 5.0s,0,2,51,5.0,2025-03-09T12:12:54Z,2025-03-09T15:03:59Z
2025-03-12 19:55:38,dev,anguyenh-rocm-interactive-66b7cbd659-zx9n8,576.0,0d 0h 9m 36.0s,0,0,9,36.0,2025-03-05T11:08:16Z,2025-03-05T11:17:52Z
2025-03-12 19:55:38,dev,anguyenh-rocm-interactive-66b7cbd659-zxwb4,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-03-03T07:45:32Z,2025-03-03T07:45:32Z
2025-03-12 19:55:38,dev,b1fu06-p59qun-ollzm4-0-x9bvt,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-24T22:01:52Z,2025-02-24T22:01:52Z
2025-03-12 19:55:38,dev,b1oyny-khrqc4-8zu0y4-0-9fx8s,1.0,0d 0h 0m 1.0s,0,0,0,1.0,2025-02-26T17:25:39Z,2025-02-26T17:25:40Z
2025-03-12 19:55:38,dev,c3mkg4-lr3i2b-bidsly-0-qgqn9,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-19T21:03:33Z,2025-02-19T21:03:33Z
2025-03-12 19:55:38,dev,cyhz3i-yf3qkv-vwi8b3-0-fbs2m,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-26T21:16:10Z,2025-02-26T21:16:10Z
2025-03-12 19:55:38,dev,d07qpo-7w7jm4-c7arln-0-6rvlj,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-26T20:35:22Z,2025-02-26T20:35:22Z
2025-03-12 19:55:38,dev,e5ybcr-6925wp-8opmh7-0-kqtmx,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-26T20:46:10Z,2025-02-26T20:46:10Z
2025-03-12 19:55:38,dev,e7oby7-624rhv-xbba9c-0-25g5z,0.0,0d 0h 0m 0.0s,0,0,0,0.0,2025-02-26T21:09:41Z,2025-02-26T21:09:41Z
